Congress,ICPSR ID,State Code,District,State,Party,Name,1st Dimension,2nd Dimension,1st Dimension S.E.,2nd Dimension S.E.,Correlation,Log-likelihood,Votes,Classification Errors,Geometric Mean Probability
108,15245,82,1,HAWAII,100,ABERCROMBIE,-0.426,-0.02,0.028,0.042,-0.355,-192.2957,814,72,0.79
108,15000,13,5,NEW YOR,100,ACKERMAN,-0.411,-0.232,0.057,0.08,-0.48,-105.95372,751,40,0.868
108,29701,41,4,ALABAMA,200,ADERHOLT,0.491,0.309,0.086,0.202,-0.198,-141.66429,819,64,0.841
108,14400,82,0,HAWAII,100,AKAKA,-0.469,0.174,0.017,0.188,0.298,-77.18906,490,34,0.854
108,20123,34,2,MISSOUR,200,AKIN,0.73,0.159,0.099,0.089,-0.173,-106.37483,818,41,0.878
108,20327,45,5,LOUISIA,100,ALEXANDER,-0.093,0.923,0.041,0.105,0.066,-272.45895,832,116,0.721
108,40304,54,0,TENNESS,200,ALEXANDER,0.34,-0.343,0.025,0.076,0.638,-55.2095,511,24,0.898
108,29108,62,0,COLORAD,200,ALLARD,0.616,-0.118,0.023,0.122,0.506,-52.27402,517,24,0.904
108,29728,2,1,MAINE,100,ALLEN,-0.404,-0.092,0.036,0.035,-0.373,-146.63739,832,67,0.838
108,29148,40,0,VIRGINI,200,ALLEN,0.407,0.052,0.019,0.15,0.263,-63.09472,518,26,0.885
108,29132,12,1,NEW JER,100,ANDREWS,-0.324,-0.152,0.076,0.026,-0.271,-175.02052,813,81,0.806
108,29942,71,43,CALIFOR,100,BACA,-0.316,0.267,0.039,0.044,-0.383,-158.9819,832,65,0.826
108,29301,41,6,ALABAMA,200,BACHUS,0.531,0.062,0.089,0.091,0.039,-111.81565,810,44,0.871
108,29938,73,3,WASHING,100,BAIRD,-0.411,0.52,0.023,0.05,0.011,-196.53,809,80,0.784
108,15401,45,6,LOUISIA,200,BAKER,0.515,0.137,0.053,0.186,0.11,-86.26786,806,36,0.898
108,29940,25,2,WISCONS,100,BALDWIN,-0.579,-0.196,0.038,0.105,-0.43,-117.82033,841,55,0.869
108,20339,47,1,NORTH C,100,BALLANCE,-0.452,-0.06,0.044,0.098,-0.369,-91.11818,564,41,0.851
108,15402,47,10,NORTH C,200,BALLENGER,0.542,-0.135,0.104,0.116,0.199,-81.01449,742,26,0.897
108,20347,48,3,SOUTH C,200,BARRETT,0.79,0.035,0.116,0.09,0.091,-88.37467,839,27,0.9
108,29356,52,6,MARYLAN,200,BARTLETT,0.634,-0.026,0.09,0.092,0.047,-251.42928,836,93,0.74
108,15085,49,6,TEXAS,200,BARTON,0.643,0.12,0.064,0.156,0.077,-108.69261,783,39,0.87
108,29538,4,2,NEW HAM,200,BASS,0.543,-0.918,0.178,0.149,-0.25,-178.78084,833,84,0.807
108,14203,64,0,MONTANA,100,BAUCUS,-0.217,0.382,0.072,0.043,-0.288,-170.14702,509,83,0.716
108,49901,22,0,INDIANA,100,BAYH,-0.238,0.252,0.107,0.089,0.026,-155.50821,513,75,0.738
108,20312,62,7,COLORAD,200,BEAUPREZ,0.657,-0.082,0.107,0.084,-0.007,-98.0825,837,33,0.889
108,29316,71,31,CALIFOR,100,BECERRA,-0.503,-0.296,0.043,0.056,-0.458,-93.35326,808,40,0.891
108,20354,49,25,TEXAS,100,BELL,-0.338,0.237,0.04,0.075,-0.443,-164.08034,787,84,0.812
108,49307,67,0,UTAH,200,BENNETT,0.349,-0.231,0.022,0.047,0.552,-49.36785,507,21,0.907
108,14605,35,1,NEBRASK,200,BEREUTER,0.28,-0.269,0.072,0.039,-0.047,-181.07968,687,77,0.768
108,29922,65,1,NEVADA,100,BERKLEY,-0.305,-0.059,0.043,0.034,-0.355,-142.67973,741,60,0.825
108,15005,71,28,CALIFOR,100,BERMAN,-0.399,-0.402,0.07,0.134,-0.405,-107.89879,748,46,0.866
108,29702,42,1,ARKANSA,100,BERRY,-0.294,0.946,0.049,0.097,0.659,-209.98299,825,90,0.775
108,14101,11,0,DELAWAR,100,BIDEN,-0.326,-0.044,0.028,0.148,-0.154,-98.26357,491,39,0.819
108,29912,21,13,ILLINOI,200,BIGGERT,0.543,-0.806,0.189,0.174,-0.337,-139.59824,841,56,0.847
108,15006,43,9,FLORIDA,200,BILIRAKIS,0.438,-0.061,0.077,0.139,0.129,-137.52589,834,67,0.848
108,14912,66,0,NEW MEX,100,BINGAMAN,-0.351,0.232,0.041,0.114,0.08,-129.6468,514,46,0.777
108,29339,44,2,GEORGIA,100,BISHOP,-0.264,0.46,0.018,0.041,-0.203,-206.91557,817,95,0.776
108,20338,13,1,NEW YOR,100,BISHOP,-0.334,-0.116,0.063,0.06,-0.399,-114.65849,827,52,0.871
108,20357,67,1,UTAH,200,BISHOP,0.639,0.205,0.085,0.129,-0.057,-111.79595,792,43,0.868
108,20351,54,7,TENNESS,200,BLACKBURN,0.753,0.044,0.122,0.065,-0.005,-91.43091,826,34,0.895
108,29588,72,3,OREGON,100,BLUMENAUER,-0.49,-0.849,0.088,0.314,-0.438,-130.42561,785,53,0.847
108,29735,34,7,MISSOUR,200,BLUNT,0.602,0.009,0.082,0.067,-0.033,-99.7635,831,43,0.887
108,15007,13,24,NEW YOR,200,BOEHLERT,0.229,-0.734,0.062,0.12,0.042,-138.35245,769,51,0.835
108,29137,24,8,OHIO,200,BOEHNER,0.655,0.003,0.081,0.062,0.054,-99.06961,816,45,0.886
108,15501,34,0,MISSOUR,200,BOND,0.32,-0.165,0.015,0.042,0.476,-66.55531,515,25,0.879
108,39302,49,23,TEXAS,200,BONILLA,0.524,0.016,0.096,0.062,-0.088,-107.32468,804,41,0.875
108,20300,41,1,ALABAMA,200,BONNER,0.53,0.15,0.107,0.112,-0.025,-84.57133,805,37,0.9
108,29775,71,45,CALIFOR,200,BONO MACK,0.516,-0.427,0.139,0.086,-0.042,-145.06256,817,62,0.837
108,20101,42,3,ARKANSA,200,BOOZMAN,0.501,0.145,0.067,0.143,-0.028,-84.49503,841,38,0.904
108,29721,31,3,IOWA,100,BOSWELL,-0.222,0.351,0.039,0.052,-0.162,-185.98152,830,68,0.799
108,15010,40,9,VIRGINI,100,BOUCHER,-0.229,0.212,0.04,0.034,-0.21,-225.59639,826,99,0.761
108,15011,71,0,CALIFOR,100,BOXER,-0.528,-0.106,0.021,0.296,0.219,-50.77225,501,21,0.904
